image,before_psnr,after_psnr,before_ssim,after_ssim,before_uciqe,after_uciqe,before_uiqm,after_uiqm
636_img_.png,15.53683493118383,19.42662520985761,0.6206196,0.922245,2.059772,2.1115208,0.46442478218027244,0.7428131477254306
637_img_.png,15.708131273272523,19.70444912786778,0.59213996,0.9104653,2.3263478,2.374719,0.406804041549416,0.6995880923882295
638_img_.png,18.665987169835848,18.748942348274998,0.8714296,0.91431564,2.0082126,2.059137,0.2175151841895827,0.358326278988376
639_img_.png,18.696869665145115,18.265682916718163,0.83900565,0.8904322,1.7288325,1.783822,0.5651021086393389,0.7919534081283862
63_img_.png,19.045552223160836,19.418743805630147,0.88727516,0.8308978,6.127273,6.1020327,0.6032096447438307,0.8170819558842953
640_img_.png,15.112108379456501,14.731977422964132,0.8014827,0.84678096,1.9838296,2.0068269,0.39292731220842597,0.4727637451977388
641_img_.png,17.522626935242233,17.106001340577443,0.8427226,0.90588695,2.3983998,2.460419,0.23765099827717656,0.3774433743079928
642_img_.png,16.356198113392587,16.787336786043014,0.7669669,0.90342045,1.4147683,1.4863111,0.42422920240164647,0.6583438687889106
645_img_.png,18.282749822931777,17.78284484802085,0.8584683,0.8453166,3.8453367,3.8579743,0.428912800974153,0.677047693921552
646_img_.png,17.654330406502336,16.644121039319405,0.848919,0.78615886,4.199124,4.1895328,0.5751391575280322,0.7465350941906533
647_img_.png,20.778524438591614,17.731028787438262,0.92424655,0.8039706,3.1581438,3.1419723,0.8438613318309142,0.856104334369008
648_img_.png,21.571438291235097,19.08549592341149,0.92194104,0.8527174,2.8726301,2.872329,0.46848886524572236,0.6550381253846197
649_img_.png,19.375177993549258,16.50461128851046,0.8845292,0.8325735,3.2592695,3.2640028,0.5724531159393437,0.7938209788475074
64_img_.png,22.678837400691123,19.445495853206886,0.9238227,0.8656418,6.7690816,6.764987,0.6928058653969317,0.8188553652536743
650_img_.png,15.470102319030705,15.539058933341185,0.6032833,0.6548914,2.9105306,2.947864,0.38115853266062044,0.622847568103955
651.png,18.619748836743444,23.14126627902823,0.82392997,0.93964577,11.405666,11.337347,0.7113131134287705,0.8779661830225212
651_img_.png,21.329455389890132,18.10057032620394,0.8862514,0.7450971,7.9026103,7.8450937,0.6698952499363996,0.7970532918878669
652_img_.png,16.353648619258866,16.330432714555492,0.7507329,0.7865005,2.6478372,2.9321117,0.4600898595576828,0.7222868197319515
653_img_.png,17.48571554225585,17.039677659370792,0.8030484,0.83061713,4.681416,4.6072273,0.4773523891333638,0.7976224806019379
654_img_.png,11.128507277100475,11.910787113978852,0.62546545,0.679544,4.356332,4.4814997,0.532318091916347,0.7731333525759625
655_img_.png,13.496251697755945,14.453642122168453,0.63170743,0.68649906,4.1371894,4.518659,0.44019371830013576,0.6782551902316241
656_img_.png,18.269944388483264,19.653188854277815,0.8632172,0.87594944,6.535429,6.591538,0.3137281573204385,0.4061412878494704
657_img_.png,16.361532091664554,15.82921358282551,0.7912473,0.76099706,5.06489,5.0786514,0.587767921134211,0.79428994100179
658_img_.png,12.285221373229708,11.881602510834451,0.7081866,0.71094805,2.4024549,2.6010256,0.4200269835960546,0.6447746534985893
659_img_.png,13.280795799183515,14.651882057261528,0.5822789,0.7114777,3.1639752,3.7372468,0.3278339270037002,0.6236786027348354
65_img_.png,23.369595951418848,18.210607502794304,0.9614501,0.81237394,5.4364343,5.4130697,0.6817284153915746,0.8118362771502444
660_img_.png,26.857284419738328,21.70221797623464,0.96853656,0.84780073,5.1123457,5.1292963,0.7575198621706285,0.7496395119291884
661_img_.png,29.821391220855176,17.767953386128532,0.98518175,0.79621005,6.5451317,6.509244,0.9976879345962786,0.9502902466404046
662_img_.png,14.534282910900423,17.50912256820904,0.78036875,0.86056644,4.8868375,4.899801,0.4769046437754114,0.6571210293750933
663_img_.png,12.171873809469814,14.021402749968878,0.5895031,0.74382275,2.8126073,2.9620945,0.35193969117260054,0.5985571934198618
666_img_.png,13.84152094865561,17.125679111753584,0.6219593,0.8514395,2.3336024,2.416495,0.29087433832745757,0.5834443060786766
668_img_.png,10.377068006141211,10.530556568323828,0.6604493,0.68256253,3.5654888,3.6301818,0.4731817214246026,0.5130924544998032
670_img_.png,18.160180239731133,24.877249200908864,0.6118961,0.89451295,2.2783346,2.399373,0.30290499994982717,0.5011914658509411
672_img_.png,11.226673743652036,12.985842405555976,0.659662,0.76286393,3.8695905,3.8855696,0.49194236098848615,0.6197456309749872
673_img_.png,18.312926311369235,14.695412221995468,0.8749059,0.7352564,4.2860975,4.278348,0.9164722019837627,0.8930319928891512
674_img_.png,21.692994909037544,18.83748978530439,0.9255907,0.86383456,8.080541,8.049538,0.6168455873641915,0.7946525965360351
675_img_.png,22.580802941994204,27.593911260399175,0.8770547,0.96190214,8.190823,8.1343355,0.5589826671736347,0.7253201764026085
676_img_.png,18.084851249201968,18.619905924812205,0.88009375,0.8013088,5.3205233,5.3153667,0.6971198282388497,0.8195075841940768
677_img_.png,21.779826371824793,25.182479625289016,0.91198254,0.9648027,6.33333,6.2505236,0.8254233188155627,0.9507113191034036
6788.png,10.548013778357596,11.784156986240411,0.5861924,0.70997936,1.7229098,2.1706889,0.19758202396895094,0.4301003563847441
678_img_.png,25.06386141241224,26.92931169280914,0.8939436,0.93644553,10.78011,10.5503,0.6491129201253113,0.6593457730545612
679_img_.png,21.752581723962653,22.857313453131795,0.9113502,0.95085984,7.686947,7.661215,0.9386588509838675,0.9654886925811126
67_img_.png,24.322794791504645,17.802120352120085,0.9123636,0.764133,6.144234,6.133947,0.5915687124668766,0.7587685589562393
680_img_.png,21.41546653307509,22.979118532959667,0.9247249,0.955189,4.71405,4.648195,0.8392172040395572,0.9334623736783118
681_img_.png,20.17650923618153,21.42476396641571,0.9170623,0.9347542,6.7755604,6.753793,1.0075624348733803,1.0328532001342787
6820.png,16.497722926148526,17.62867769193643,0.6808696,0.7262446,3.962553,3.984792,0.44205556365899634,0.5694791375403021
682_img_.png,21.649967322419883,22.86398493089407,0.9038804,0.9506138,7.444475,7.303216,1.0495198500717755,1.0412043674972693
683_img_.png,15.978380492489892,16.432167409895044,0.7845626,0.83348656,7.8872595,7.4903793,0.8764698856922384,0.8449976142689654
684_img_.png,21.53353629769246,21.335439557086907,0.90293866,0.9277559,10.169164,9.7343,0.682400589606945,0.9108195113050556
685_img_.png,12.41128440867385,13.325295795396148,0.59649855,0.6764284,2.4327612,3.1428792,0.3816596842790667,0.5904296578944653
686_img_.png,15.153821047204652,15.653277013152726,0.7764087,0.7447069,3.2714198,3.9394314,0.4956203260842403,0.7212301508007231
6872.png,10.509418054474525,12.772612546078076,0.631906,0.7743345,3.1358614,3.1772833,0.34528345714697584,0.4994003268590544
687_img_.png,17.966681170080367,17.342616414977137,0.78125644,0.8118685,2.9956465,3.0036159,0.30417633233205893,0.32605114325422446
688_img_.png,15.963306266368978,15.16073293946002,0.82696754,0.76035136,4.1459417,4.206541,0.625145020083492,0.8076865062944626
689_img_.png,12.374224375191694,14.25397652666154,0.59461886,0.7671369,2.5266986,2.958295,0.2783167828679095,0.5154934527069021
690_img_.png,10.79036596465286,13.307003745072393,0.33732036,0.65973115,2.8852816,2.9314108,0.22192348649735796,0.4229181008167312
691_img_.png,24.774792130005046,27.00703651247541,0.9031213,0.94553757,12.846313,12.709345,0.6631115694505284,0.7575415314410238
692_img_.png,22.96129436330076,23.04012647289052,0.8388428,0.9318332,6.474692,6.449003,0.6586986267060435,0.7333758970662968
694_img_.png,19.144450738984943,16.726038063800036,0.8822665,0.7663172,5.622887,5.617036,1.0081161698660872,0.92791327954722
695_img_.png,17.674149398047643,15.830963309884458,0.7696695,0.7246863,7.4248157,7.367036,0.5726830586064021,0.5448504795405781
696_img_.png,23.089410835597157,19.689160782610912,0.8738294,0.7401975,2.9827743,3.0515437,0.3471606797416301,0.46015296099391956
697_img_.png,21.73533280515397,19.0300725431393,0.85570186,0.7376788,2.3595004,2.4208844,0.3211054923781448,0.4221212626963873
698_img_.png,25.669612997731377,20.189915277701015,0.97109634,0.83523196,7.552708,7.5284114,0.6196078993502088,0.7811419315146682
